u,v
3.8687905,1
1.78819721,1
-5.266455613,-1
0.953087594,1
1.034698082,1
-3.16924792,-1
-3.385181025,-1
2.02080769,1
8.199568036,1
2.865407594,1
-0.379328544,-1
-3.464765058,-1
-3.448153263,-1
0.965715463,1
-2.682480428,-1
-3.421205121,-1
-0.583670138,-1
0.590470404,1
1.620023783,1
2.802926564,1
1.529498989,1
-0.714460395,-1
0.763028839,1
-1.307804366,-1
-0.59675634,-1
-2.071973095,-1
3.911047716,1
-4.145139425,-1
4.25251193,1
-0.400008583,-1
2.163029792,1
-0.534325003,-1
-0.897121603,-1
1.26057006,1
2.48086665,1
0.460256753,1
-1.733967258,-1
-1.097378399,-1
0.717772274,1
2.718632939,1
-1.761455057,-1
0.397822821,1
-4.182961814,-1
-1.165398616,-1
6.675457099,1
-6.467094641,-1
0.858229057,1
1.903381035,1
3.935827073,1
-1.599830441,-1
-0.068608337,-1
-2.588408643,-1
-1.15835218,-1
-0.130821282,-1
0.166265821,1
2.096763903,1
-2.62599028,-1
-2.252990283,-1
-2.714103196,-1
1.46051067,1
3.762853963,1
-0.20750602,-1
-0.506906197,-1
4.582314612,1
1.095469935,1
0.551403992,1
4.294707948,1
2.146687645,1
0.27697699,1
-3.377771595,-1
6.850387839,1
-1.701240393,-1
3.376677365,1
-4.822924715,-1
-0.743397655,-1
1.242956007,1
-4.899494258,-1
0.412567975,1
-3.125363219,-1
4.504159637,1
0.354464731,1
-3.518143671,-1
-0.421717444,-1
2.907876915,1
6.336158301,1
-3.006006556,-1
-2.392197174,-1
0.991613083,1
-0.730446991,-1
5.359832426,1
-0.057706213,-1
-0.170654669,-1
4.723315803,1
2.396752857,1
-0.017244818,-1
0.618352658,1
2.245479963,1
-5.560656639,-1
1.371022879,1
0.800699064,1
0.423173496,1
-2.743514787,-1
8.3288137,1
-0.539030427,-1
-3.467382294,-1
0.154585604,1
1.233962789,1
-0.924068769,-1
1.280067659,1
-2.310342256,-1
-5.148255011,-1
-4.334247278,-1
-3.083302851,-1
2.09540136,1
